moisture0,moisture1,moisture2,moisture3,moisture4,irrgation,datetime
0.22,0.36,0.27,0.16,0.02,False,2020-03-06 22:50:13
0.22,0.36,0.27,0.16,0.02,False,2020-03-06 22:51:13
0.22,0.36,0.27,0.16,0.02,False,2020-03-06 22:52:13
0.22,0.36,0.27,0.16,0.02,False,2020-03-06 22:53:13
0.22,0.33,0.27,0.15,0.02,False,2020-03-06 22:54:13
0.24,0.37,0.28,0.16,0.03,False,2020-03-06 22:55:13
0.23,0.34,0.27,0.11,0.02,False,2020-03-06 22:56:13
0.23,0.36,0.26,0.13,0.02,False,2020-03-06 22:57:13
0.23,0.35,0.27,0.14,0.02,False,2020-03-06 22:58:13
0.23,0.35,0.27,0.14,0.02,False,2020-03-06 22:59:13
0.23,0.35,0.26,0.13,0.02,False,2020-03-06 23:00:13
0.23,0.35,0.26,0.13,0.02,False,2020-03-06 23:01:13
0.23,0.34,0.26,0.13,0.02,False,2020-03-06 23:02:14
0.23,0.34,0.26,0.13,0.02,False,2020-03-06 23:03:14
0.23,0.34,0.26,0.13,0.02,False,2020-03-06 23:04:14
0.23,0.37,0.25,0.15,0.03,False,2020-03-06 23:05:14
0.23,0.34,0.23,0.13,0.02,False,2020-03-06 23:06:14
0.23,0.34,0.25,0.12,0.02,False,2020-03-06 23:07:14
0.23,0.3,0.24,0.12,0.02,False,2020-03-06 23:08:14
0.22,0.31,0.25,0.12,0.02,False,2020-03-06 23:09:14
0.23,0.29,0.25,0.12,0.02,False,2020-03-06 23:10:14
0.23,0.29,0.25,0.12,0.02,False,2020-03-06 23:11:14
0.23,0.29,0.25,0.13,0.02,False,2020-03-06 23:12:14
0.23,0.29,0.25,0.12,0.02,False,2020-03-06 23:13:14
0.24,0.29,0.27,0.12,0.02,False,2020-03-06 23:14:14
0.23,0.29,0.27,0.12,0.03,False,2020-03-06 23:15:14
0.23,0.26,0.27,0.13,0.02,False,2020-03-06 23:16:14
0.23,0.26,0.26,0.11,0.02,False,2020-03-06 23:17:14
0.23,0.26,0.27,0.12,0.02,False,2020-03-06 23:18:14
0.23,0.27,0.27,0.12,0.02,False,2020-03-06 23:19:14
0.23,0.27,0.27,0.12,0.02,False,2020-03-06 23:20:14
0.23,0.26,0.26,0.12,0.02,False,2020-03-06 23:21:15
0.23,0.26,0.26,0.12,0.02,False,2020-03-06 23:22:15
0.23,0.26,0.26,0.12,0.02,False,2020-03-06 23:23:15
0.23,0.26,0.26,0.12,0.02,False,2020-03-06 23:24:15
0.23,0.26,0.26,0.12,0.02,False,2020-03-06 23:25:15
0.23,0.27,0.28,0.12,0.02,False,2020-03-06 23:26:15
0.23,0.27,0.28,0.12,0.02,False,2020-03-06 23:27:15
0.23,0.27,0.27,0.12,0.02,False,2020-03-06 23:28:15
0.23,0.27,0.27,0.12,0.02,False,2020-03-06 23:29:15
0.23,0.27,0.27,0.12,0.02,False,2020-03-06 23:30:15
0.23,0.27,0.27,0.12,0.02,False,2020-03-06 23:31:15
0.23,0.26,0.27,0.12,0.02,False,2020-03-06 23:32:15
0.23,0.27,0.27,0.12,0.02,False,2020-03-06 23:33:15
0.23,0.27,0.27,0.12,0.02,False,2020-03-06 23:34:15
0.23,0.27,0.26,0.12,0.02,False,2020-03-06 23:35:15
0.25,0.29,0.28,0.13,0.03,False,2020-03-06 23:36:15
0.23,0.28,0.26,0.11,0.02,False,2020-03-06 23:37:15
0.23,0.28,0.26,0.11,0.02,False,2020-03-06 23:38:15
0.23,0.28,0.26,0.12,0.02,False,2020-03-06 23:39:15
0.23,0.28,0.27,0.12,0.02,False,2020-03-06 23:40:15
0.23,0.28,0.27,0.11,0.02,False,2020-03-06 23:41:16
0.23,0.28,0.27,0.12,0.02,False,2020-03-06 23:42:16
0.23,0.28,0.26,0.11,0.02,False,2020-03-06 23:43:16
0.23,0.28,0.27,0.11,0.02,False,2020-03-06 23:44:16
0.23,0.28,0.28,0.11,0.02,False,2020-03-06 23:45:16
0.23,0.28,0.29,0.14,0.03,False,2020-03-06 23:46:16
0.23,0.28,0.27,0.11,0.02,False,2020-03-06 23:47:16
0.23,0.29,0.28,0.11,0.02,False,2020-03-06 23:48:16
0.23,0.29,0.27,0.11,0.02,False,2020-03-06 23:49:16
0.23,0.29,0.27,0.11,0.02,False,2020-03-06 23:50:16
0.23,0.29,0.28,0.11,0.02,False,2020-03-06 23:51:16
0.23,0.29,0.28,0.11,0.02,False,2020-03-06 23:52:16
0.23,0.29,0.28,0.11,0.02,False,2020-03-06 23:53:16
0.23,0.29,0.28,0.11,0.02,False,2020-03-06 23:54:16
0.23,0.29,0.27,0.11,0.02,False,2020-03-06 23:55:16
0.23,0.3,0.29,0.11,0.03,False,2020-03-06 23:56:16
0.23,0.3,0.28,0.11,0.02,False,2020-03-06 23:57:16
0.22,0.3,0.28,0.11,0.02,False,2020-03-06 23:58:16
0.22,0.3,0.28,0.11,0.02,False,2020-03-06 23:59:16
0.23,0.31,0.29,0.11,0.02,False,2020-03-07 00:00:16
0.23,0.31,0.27,0.11,0.02,False,2020-03-07 00:01:17
0.22,0.31,0.29,0.11,0.02,False,2020-03-07 00:02:17
0.22,0.32,0.29,0.11,0.02,False,2020-03-07 00:03:17
0.22,0.33,0.29,0.11,0.02,False,2020-03-07 00:04:17
0.22,0.33,0.29,0.11,0.02,False,2020-03-07 00:05:17
0.22,0.33,0.28,0.11,0.02,False,2020-03-07 00:06:17
0.25,0.32,0.29,0.13,0.03,False,2020-03-07 00:07:17
0.22,0.3,0.29,0.11,0.02,False,2020-03-07 00:08:17
0.22,0.32,0.29,0.11,0.02,False,2020-03-07 00:09:17
0.22,0.32,0.29,0.11,0.02,False,2020-03-07 00:10:17
0.22,0.32,0.28,0.11,0.02,False,2020-03-07 00:11:17
0.22,0.31,0.3,0.11,0.02,False,2020-03-07 00:12:17
0.22,0.3,0.3,0.11,0.02,False,2020-03-07 00:13:17
0.22,0.32,0.3,0.11,0.02,False,2020-03-07 00:14:17
0.22,0.31,0.3,0.11,0.02,False,2020-03-07 00:15:17
0.22,0.31,0.29,0.11,0.02,False,2020-03-07 00:16:17
0.22,0.3,0.3,0.11,0.03,False,2020-03-07 00:17:17
0.22,0.3,0.31,0.1,0.02,False,2020-03-07 00:18:17
0.22,0.3,0.29,0.11,0.02,False,2020-03-07 00:19:17
0.22,0.3,0.29,0.1,0.02,False,2020-03-07 00:20:18
0.21,0.3,0.31,0.11,0.02,False,2020-03-07 00:21:18
0.21,0.3,0.3,0.1,0.02,False,2020-03-07 00:22:18
0.21,0.3,0.3,0.11,0.02,False,2020-03-07 00:23:18
0.21,0.3,0.31,0.1,0.02,False,2020-03-07 00:24:18
0.21,0.3,0.3,0.11,0.02,False,2020-03-07 00:25:18
0.21,0.3,0.31,0.11,0.02,False,2020-03-07 00:26:18
0.21,0.3,0.3,0.11,0.02,False,2020-03-07 00:27:18
0.24,0.32,0.31,0.12,0.03,False,2020-03-07 00:28:18
0.21,0.3,0.3,0.11,0.02,False,2020-03-07 00:29:18
0.21,0.3,0.3,0.11,0.02,False,2020-03-07 00:30:18
0.21,0.32,0.3,0.11,0.02,False,2020-03-07 00:31:18
0.21,0.32,0.3,0.11,0.02,False,2020-03-07 00:32:18
0.21,0.32,0.3,0.1,0.02,False,2020-03-07 00:33:18
0.21,0.33,0.3,0.1,0.02,False,2020-03-07 00:34:18
0.21,0.33,0.3,0.11,0.02,False,2020-03-07 00:35:18
0.21,0.33,0.3,0.11,0.02,False,2020-03-07 00:36:18
0.21,0.33,0.3,0.11,0.02,False,2020-03-07 00:37:18
0.21,0.33,0.31,0.14,0.03,False,2020-03-07 00:38:18
0.21,0.32,0.31,0.1,0.02,False,2020-03-07 00:39:18
0.21,0.32,0.3,0.1,0.02,False,2020-03-07 00:40:19
0.21,0.33,0.3,0.1,0.02,False,2020-03-07 00:41:19
0.21,0.32,0.32,0.1,0.02,False,2020-03-07 00:42:19
0.21,0.33,0.31,0.1,0.02,False,2020-03-07 00:43:19
0.21,0.33,0.3,0.1,0.02,False,2020-03-07 00:44:19
0.21,0.32,0.3,0.1,0.02,False,2020-03-07 00:45:19
0.21,0.32,0.3,0.1,0.02,False,2020-03-07 00:46:19
0.21,0.31,0.3,0.1,0.02,False,2020-03-07 00:47:19
0.21,0.31,0.3,0.1,0.02,False,2020-03-07 00:48:19
0.23,0.32,0.31,0.12,0.03,False,2020-03-07 00:49:19
0.21,0.32,0.3,0.1,0.02,False,2020-03-07 00:50:19
0.21,0.32,0.31,0.1,0.02,False,2020-03-07 00:51:19
0.21,0.32,0.31,0.1,0.02,False,2020-03-07 00:52:19
0.21,0.32,0.31,0.1,0.02,False,2020-03-07 00:53:19
0.21,0.31,0.31,0.1,0.02,False,2020-03-07 00:54:19
0.21,0.31,0.31,0.1,0.02,False,2020-03-07 00:55:19
0.21,0.31,0.31,0.1,0.02,False,2020-03-07 00:56:19
0.21,0.31,0.31,0.1,0.02,False,2020-03-07 00:57:19
0.21,0.31,0.31,0.1,0.02,False,2020-03-07 00:58:19
0.21,0.31,0.33,0.13,0.03,False,2020-03-07 00:59:19
0.21,0.31,0.3,0.1,0.02,False,2020-03-07 01:00:20
0.21,0.31,0.31,0.1,0.02,False,2020-03-07 01:01:20
0.2,0.31,0.31,0.1,0.02,False,2020-03-07 01:02:20
0.2,0.31,0.31,0.1,0.02,False,2020-03-07 01:03:20
0.21,0.31,0.31,0.1,0.02,False,2020-03-07 01:04:20
0.21,0.32,0.31,0.1,0.02,False,2020-03-07 01:05:20
0.2,0.33,0.31,0.1,0.02,False,2020-03-07 01:06:20
0.2,0.36,0.31,0.1,0.02,False,2020-03-07 01:07:20
0.21,0.38,0.31,0.1,0.02,False,2020-03-07 01:08:20
0.2,0.39,0.31,0.1,0.02,False,2020-03-07 01:09:20
0.23,0.39,0.32,0.11,0.03,False,2020-03-07 01:10:20
0.2,0.38,0.31,0.1,0.02,False,2020-03-07 01:11:20
0.21,0.38,0.31,0.1,0.02,False,2020-03-07 01:12:20
0.2,0.36,0.31,0.1,0.02,False,2020-03-07 01:13:20
0.21,0.33,0.31,0.1,0.02,False,2020-03-07 01:14:20
0.2,0.38,0.31,0.1,0.02,False,2020-03-07 01:15:20
0.21,0.38,0.31,0.1,0.02,False,2020-03-07 01:16:20
0.2,0.34,0.31,0.1,0.02,False,2020-03-07 01:17:20
0.21,0.37,0.31,0.1,0.02,False,2020-03-07 01:18:20
0.2,0.37,0.31,0.1,0.02,False,2020-03-07 01:19:20
0.21,0.38,0.31,0.13,0.03,False,2020-03-07 01:20:21
0.2,0.38,0.31,0.1,0.02,False,2020-03-07 01:21:21
0.2,0.33,0.31,0.1,0.02,False,2020-03-07 01:22:21
0.2,0.34,0.31,0.1,0.02,False,2020-03-07 01:23:21
0.21,0.37,0.31,0.1,0.02,False,2020-03-07 01:24:21
0.21,0.38,0.31,0.1,0.02,False,2020-03-07 01:25:21
0.21,0.39,0.31,0.1,0.02,False,2020-03-07 01:26:21
0.21,0.36,0.31,0.11,0.02,False,2020-03-07 01:27:21
0.21,0.37,0.31,0.12,0.02,False,2020-03-07 01:28:21
0.21,0.37,0.32,0.12,0.02,False,2020-03-07 01:29:21
0.2,0.37,0.31,0.11,0.02,False,2020-03-07 01:30:21
0.23,0.37,0.32,0.12,0.03,False,2020-03-07 01:31:21
0.21,0.34,0.31,0.11,0.02,False,2020-03-07 01:32:21
0.21,0.4,0.31,0.11,0.02,False,2020-03-07 01:33:21
0.21,0.37,0.32,0.11,0.02,False,2020-03-07 01:34:21
0.21,0.38,0.31,0.1,0.02,False,2020-03-07 01:35:21
0.21,0.37,0.32,0.11,0.02,False,2020-03-07 01:36:21
0.21,0.37,0.32,0.11,0.02,False,2020-03-07 01:37:21
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 01:38:21
0.21,0.37,0.32,0.11,0.02,False,2020-03-07 01:39:21
0.2,0.38,0.31,0.11,0.02,False,2020-03-07 01:40:22
0.2,0.41,0.34,0.13,0.03,False,2020-03-07 01:41:22
0.2,0.39,0.31,0.11,0.02,False,2020-03-07 01:42:22
0.2,0.39,0.31,0.11,0.02,False,2020-03-07 01:43:22
0.21,0.38,0.32,0.11,0.02,False,2020-03-07 01:44:22
0.2,0.38,0.31,0.11,0.02,False,2020-03-07 01:45:22
0.21,0.38,0.31,0.11,0.02,False,2020-03-07 01:46:22
0.21,0.39,0.31,0.11,0.02,False,2020-03-07 01:47:22
0.21,0.39,0.32,0.11,0.02,False,2020-03-07 01:48:22
0.21,0.4,0.32,0.11,0.02,False,2020-03-07 01:49:22
0.21,0.39,0.31,0.11,0.02,False,2020-03-07 01:50:22
0.21,0.38,0.31,0.11,0.02,False,2020-03-07 01:51:22
0.21,0.39,0.31,0.11,0.02,False,2020-03-07 01:52:22
0.21,0.39,0.31,0.11,0.02,False,2020-03-07 01:53:22
0.21,0.39,0.32,0.11,0.02,False,2020-03-07 01:54:22
0.21,0.34,0.32,0.11,0.02,False,2020-03-07 01:55:22
0.21,0.34,0.32,0.11,0.02,False,2020-03-07 01:56:22
0.21,0.34,0.32,0.11,0.02,False,2020-03-07 01:57:22
0.21,0.35,0.31,0.11,0.02,False,2020-03-07 01:58:22
0.21,0.37,0.31,0.11,0.02,False,2020-03-07 01:59:22
0.21,0.39,0.31,0.11,0.02,False,2020-03-07 02:00:23
0.2,0.4,0.31,0.11,0.03,False,2020-03-07 02:01:23
0.21,0.38,0.34,0.13,0.04,False,2020-03-07 02:02:23
0.2,0.4,0.32,0.11,0.02,False,2020-03-07 02:03:23
0.21,0.39,0.31,0.11,0.02,False,2020-03-07 02:04:23
0.21,0.36,0.31,0.11,0.02,False,2020-03-07 02:05:23
0.2,0.39,0.31,0.11,0.02,False,2020-03-07 02:06:23
0.2,0.36,0.32,0.11,0.02,False,2020-03-07 02:07:23
0.2,0.39,0.31,0.11,0.02,False,2020-03-07 02:08:23
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:09:23
0.2,0.39,0.32,0.12,0.02,False,2020-03-07 02:10:23
0.2,0.36,0.32,0.13,0.02,False,2020-03-07 02:11:23
0.2,0.38,0.32,0.12,0.02,False,2020-03-07 02:12:23
0.22,0.37,0.33,0.13,0.03,False,2020-03-07 02:13:23
0.2,0.4,0.32,0.11,0.02,False,2020-03-07 02:14:23
0.2,0.36,0.32,0.11,0.02,False,2020-03-07 02:15:23
0.2,0.4,0.32,0.11,0.02,False,2020-03-07 02:16:23
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:17:23
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:18:23
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:19:23
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:20:24
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:21:24
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:22:24
0.2,0.39,0.35,0.14,0.04,False,2020-03-07 02:23:24
0.2,0.41,0.32,0.11,0.02,False,2020-03-07 02:24:24
0.2,0.4,0.32,0.11,0.02,False,2020-03-07 02:25:24
0.2,0.4,0.32,0.11,0.02,False,2020-03-07 02:26:24
0.2,0.38,0.32,0.11,0.02,False,2020-03-07 02:27:24
0.2,0.37,0.32,0.11,0.02,False,2020-03-07 02:28:24
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:29:24
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:30:24
0.2,0.37,0.32,0.11,0.02,False,2020-03-07 02:31:24
0.2,0.38,0.32,0.11,0.02,False,2020-03-07 02:32:24
0.2,0.37,0.32,0.11,0.02,False,2020-03-07 02:33:24
0.2,0.37,0.32,0.11,0.02,False,2020-03-07 02:34:25
0.2,0.4,0.32,0.11,0.02,False,2020-03-07 02:35:25
0.2,0.4,0.32,0.11,0.02,False,2020-03-07 02:36:25
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:37:25
0.2,0.41,0.32,0.11,0.02,False,2020-03-07 02:38:25
0.2,0.38,0.32,0.11,0.02,False,2020-03-07 02:39:25
0.2,0.38,0.32,0.11,0.02,False,2020-03-07 02:40:25
0.2,0.38,0.32,0.11,0.02,False,2020-03-07 02:41:25
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:42:25
0.2,0.37,0.32,0.11,0.02,False,2020-03-07 02:43:25
0.2,0.44,0.34,0.14,0.04,False,2020-03-07 02:44:25
0.2,0.39,0.32,0.12,0.02,False,2020-03-07 02:45:25
0.2,0.39,0.32,0.12,0.02,False,2020-03-07 02:46:25
0.2,0.39,0.32,0.12,0.02,False,2020-03-07 02:47:25
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:48:25
0.2,0.37,0.33,0.11,0.03,False,2020-03-07 02:49:25
0.2,0.39,0.32,0.11,0.02,False,2020-03-07 02:50:25
0.21,0.38,0.32,0.12,0.02,False,2020-03-07 02:51:25
0.21,0.37,0.32,0.12,0.02,False,2020-03-07 02:52:25
0.21,0.38,0.32,0.12,0.02,False,2020-03-07 02:53:25
0.21,0.39,0.32,0.12,0.02,False,2020-03-07 02:54:26
0.21,0.38,0.32,0.12,0.02,False,2020-03-07 02:55:26
0.21,0.37,0.32,0.12,0.02,False,2020-03-07 02:56:26
0.21,0.37,0.32,0.12,0.02,False,2020-03-07 02:57:26
0.21,0.38,0.32,0.11,0.02,False,2020-03-07 02:58:26
0.21,0.39,0.32,0.11,0.02,False,2020-03-07 02:59:26
0.21,0.36,0.32,0.11,0.02,False,2020-03-07 03:00:26
0.21,0.39,0.32,0.12,0.02,False,2020-03-07 03:01:26
0.21,0.39,0.32,0.12,0.02,False,2020-03-07 03:02:26
0.21,0.38,0.32,0.12,0.02,False,2020-03-07 03:03:26
0.21,0.37,0.32,0.12,0.02,False,2020-03-07 03:04:26
0.21,0.39,0.35,0.15,0.03,False,2020-03-07 03:05:26
0.21,0.39,0.32,0.13,0.02,False,2020-03-07 03:06:26
0.21,0.39,0.32,0.13,0.02,False,2020-03-07 03:07:26
0.21,0.38,0.32,0.12,0.02,False,2020-03-07 03:08:26
0.21,0.37,0.32,0.12,0.02,False,2020-03-07 03:09:26
0.21,0.38,0.32,0.12,0.02,False,2020-03-07 03:10:26
0.21,0.38,0.32,0.12,0.02,False,2020-03-07 03:11:26
0.21,0.39,0.32,0.12,0.02,False,2020-03-07 03:12:26
0.21,0.38,0.32,0.13,0.02,False,2020-03-07 03:13:26
0.21,0.39,0.32,0.13,0.02,False,2020-03-07 03:14:27
0.21,0.39,0.32,0.13,0.02,False,2020-03-07 03:15:27
0.21,0.4,0.32,0.13,0.02,False,2020-03-07 03:16:27
0.21,0.38,0.32,0.13,0.02,False,2020-03-07 03:17:27
0.21,0.39,0.32,0.12,0.02,False,2020-03-07 03:18:27
0.2,0.38,0.32,0.13,0.02,False,2020-03-07 03:19:27
0.21,0.35,0.32,0.12,0.02,False,2020-03-07 03:20:27
0.21,0.35,0.32,0.13,0.02,False,2020-03-07 03:21:27
0.21,0.36,0.32,0.12,0.02,False,2020-03-07 03:22:27
0.2,0.38,0.32,0.13,0.02,False,2020-03-07 03:23:27
0.2,0.4,0.32,0.13,0.02,False,2020-03-07 03:24:27
0.2,0.38,0.32,0.13,0.02,False,2020-03-07 03:25:27
0.2,0.41,0.34,0.15,0.03,False,2020-03-07 03:26:27
0.21,0.4,0.32,0.12,0.02,False,2020-03-07 03:27:27
0.2,0.39,0.32,0.12,0.02,False,2020-03-07 03:28:27
0.21,0.38,0.32,0.13,0.02,False,2020-03-07 03:29:27
0.2,0.39,0.32,0.12,0.02,False,2020-03-07 03:30:27
0.2,0.38,0.32,0.12,0.02,False,2020-03-07 03:31:27
0.2,0.38,0.32,0.12,0.02,False,2020-03-07 03:32:27
0.21,0.38,0.32,0.12,0.02,False,2020-03-07 03:33:27
0.2,0.38,0.32,0.12,0.02,False,2020-03-07 03:34:28
0.2,0.39,0.32,0.12,0.02,False,2020-03-07 03:35:28
0.2,0.4,0.32,0.12,0.02,False,2020-03-07 03:36:28
0.21,0.39,0.32,0.12,0.02,False,2020-03-07 03:37:28
0.21,0.38,0.32,0.12,0.02,False,2020-03-07 03:38:28
0.21,0.39,0.32,0.13,0.02,False,2020-03-07 03:39:28
0.21,0.39,0.32,0.13,0.03,False,2020-03-07 03:40:28
0.21,0.38,0.33,0.13,0.03,False,2020-03-07 03:41:28
0.21,0.38,0.33,0.13,0.03,False,2020-03-07 03:42:28
0.21,0.37,0.33,0.13,0.03,False,2020-03-07 03:43:28
0.21,0.38,0.33,0.13,0.03,False,2020-03-07 03:44:28
0.21,0.36,0.33,0.13,0.03,False,2020-03-07 03:45:28
0.21,0.36,0.33,0.13,0.03,False,2020-03-07 03:46:28
0.27,0.39,0.35,0.15,0.05,False,2020-03-07 03:47:28
0.21,0.37,0.33,0.12,0.03,False,2020-03-07 03:48:28
0.21,0.39,0.33,0.13,0.03,False,2020-03-07 03:49:28
0.21,0.39,0.33,0.13,0.03,False,2020-03-07 03:50:28
0.21,0.4,0.32,0.13,0.03,False,2020-03-07 03:51:28
0.21,0.36,0.33,0.13,0.03,False,2020-03-07 03:52:28
0.21,0.36,0.32,0.13,0.03,False,2020-03-07 03:53:28
0.21,0.37,0.32,0.13,0.03,False,2020-03-07 03:54:29
0.21,0.4,0.32,0.13,0.03,False,2020-03-07 03:55:29
0.21,0.4,0.32,0.13,0.03,False,2020-03-07 03:56:29
0.21,0.37,0.32,0.13,0.03,False,2020-03-07 03:57:29
0.21,0.37,0.32,0.13,0.03,False,2020-03-07 03:58:29
0.21,0.39,0.32,0.13,0.03,False,2020-03-07 03:59:29
0.21,0.36,0.33,0.14,0.04,False,2020-03-07 04:00:29
0.21,0.37,0.32,0.13,0.03,False,2020-03-07 04:01:29
0.21,0.37,0.32,0.13,0.03,False,2020-03-07 04:02:29
0.21,0.38,0.32,0.13,0.03,False,2020-03-07 04:03:29
0.21,0.38,0.32,0.13,0.03,False,2020-03-07 04:04:29
0.21,0.37,0.32,0.13,0.04,False,2020-03-07 04:05:29
0.21,0.38,0.32,0.13,0.04,False,2020-03-07 04:06:29
0.21,0.38,0.32,0.13,0.03,False,2020-03-07 04:07:29
0.21,0.4,0.35,0.16,0.05,False,2020-03-07 04:08:29
0.21,0.4,0.32,0.13,0.03,False,2020-03-07 04:09:29
0.21,0.38,0.32,0.13,0.03,False,2020-03-07 04:10:29
0.21,0.37,0.32,0.13,0.03,False,2020-03-07 04:11:29
0.21,0.37,0.33,0.13,0.03,False,2020-03-07 04:12:29
0.22,0.65,0.33,0.13,0.04,False,2020-03-07 04:13:29
0.22,0.82,0.33,0.13,0.04,False,2020-03-07 04:14:30
0.22,0.85,0.33,0.13,0.04,False,2020-03-07 04:15:30
0.22,0.86,0.33,0.13,0.04,False,2020-03-07 04:16:30
0.22,0.88,0.33,0.13,0.04,False,2020-03-07 04:17:30
0.22,0.87,0.33,0.13,0.04,False,2020-03-07 04:18:30
0.22,0.87,0.33,0.13,0.04,False,2020-03-07 04:19:30
0.22,0.88,0.33,0.13,0.04,False,2020-03-07 04:20:30
0.22,0.89,0.34,0.13,0.04,False,2020-03-07 04:21:30
0.22,0.91,0.34,0.13,0.04,False,2020-03-07 04:22:30
0.22,0.9,0.34,0.13,0.04,False,2020-03-07 04:23:30
0.22,0.91,0.34,0.13,0.04,False,2020-03-07 04:24:30
0.22,0.93,0.34,0.13,0.04,False,2020-03-07 04:25:30
0.22,0.92,0.34,0.13,0.04,False,2020-03-07 04:26:30
0.22,0.93,0.34,0.13,0.04,False,2020-03-07 04:27:30
0.22,0.92,0.33,0.13,0.04,False,2020-03-07 04:28:30
0.27,0.92,0.35,0.15,0.05,False,2020-03-07 04:29:30
0.21,0.92,0.34,0.13,0.04,False,2020-03-07 04:30:30
0.21,0.93,0.34,0.13,0.04,False,2020-03-07 04:31:30
0.21,0.93,0.34,0.13,0.04,False,2020-03-07 04:32:30
0.21,0.93,0.34,0.13,0.03,False,2020-03-07 04:33:30
0.21,0.95,0.33,0.13,0.03,False,2020-03-07 04:34:31
0.21,0.95,0.33,0.13,0.04,False,2020-03-07 04:35:31
0.21,0.95,0.33,0.13,0.04,False,2020-03-07 04:36:31
0.21,0.94,0.33,0.13,0.04,False,2020-03-07 04:37:31
0.21,0.94,0.33,0.13,0.03,False,2020-03-07 04:38:31
0.21,0.94,0.33,0.13,0.03,False,2020-03-07 04:39:31
0.21,0.94,0.33,0.13,0.04,False,2020-03-07 04:40:31
0.21,0.95,0.33,0.13,0.04,False,2020-03-07 04:41:31
0.21,0.95,0.33,0.13,0.03,False,2020-03-07 04:42:31
0.21,0.95,0.33,0.13,0.04,False,2020-03-07 04:43:31
0.21,0.95,0.33,0.13,0.04,False,2020-03-07 04:44:31
0.21,0.95,0.33,0.13,0.03,False,2020-03-07 04:45:31
0.21,0.95,0.33,0.13,0.03,False,2020-03-07 04:46:31
0.21,0.95,0.34,0.13,0.04,False,2020-03-07 04:47:31
0.21,0.95,0.34,0.12,0.03,False,2020-03-07 04:48:31
0.21,0.95,0.34,0.12,0.03,False,2020-03-07 04:49:31
0.25,0.95,0.35,0.14,0.05,False,2020-03-07 04:50:31
0.21,0.95,0.34,0.13,0.03,False,2020-03-07 04:51:31
0.21,0.95,0.34,0.13,0.04,False,2020-03-07 04:52:31
0.21,0.95,0.34,0.13,0.04,False,2020-03-07 04:53:32
